"superior","/suːˈpɪriər/","/suːˈpɪəriə(r)/","adj. （规模或实力）更大的，更强的，(在品质上)更好的；（尤用于广告中指产品或服务）高质量的，优质的；上级的，（在级别、重要性或职位上）更高的；有优越感的，高傲的，傲慢的；在其他器官之上的；（字母，数字，符号）上标的；（花的子房）上位的，（子房）在萼上的<br>n. 上级，上司；<正式>优胜者，高手；修道院院长（或其他宗教机构的负责人）；（印刷）上标字母（或数字、符号）"
"superiority","/suːˌpɪriˈɔːrəti/","/suːˌpɪəriˈɒrəti/","n. 优越，优势；优越感，骄傲自大"
"sensitive","/ˈsensətɪv/","/ˈsensətɪv/","adj. 过敏的，易受影响的；灵敏的；善解人意的，体恤的；（问题、话题）敏感的，须谨慎对待的；机密的，保密的；理解的，意识到的；（对艺术、音乐、文学等）感受力强的，有悟性的；需保护的；小心谨慎的；（照相材料）感光的；（市场）脆弱的；神经过敏的，敏感的<br>n. 具有超自然通灵能力的人"
"choreograph","/ˈkɔːriəɡræf/","/ˈkɒriəɡrɑːf/","v. 给……设计舞蹈动作， 给……编舞；设计，筹划（活动，工作）"
"mercy","/ˈmɜːrsi/","/ˈmɜːsi/","n. 仁慈，宽恕；<非正式>幸运，恩惠；慈善，怜悯<br>int. 哎呀（表示惊讶、震惊或害怕）"
"herald","/ˈherəld/","/ˈherəld/","v. 预示……的来临；宣布，宣传；热烈欢迎；公开称赞<br>n. 预兆；使者，先驱；棘翅夜蛾；<古> 掌礼官，（负责比武大会的）纹章官；（英国）宗谱纹章院或苏格兰纹章院官员（位低于纹章官助理）"
"curator","/ˈkjʊreɪtər/","/kjʊəˈreɪtə(r)/","n. （博物馆）馆长，（动物园）园长"
"curatorship","/kjʊˈretərʃɪp/","/kjʊəˈreɪtəʃɪp/","n. 评议员的地位；管理者的职务"
"curatorial","/ˌkjʊrəˈtɔːriəl/","/ˌkjʊərəˈtɔːriəl/","adj. 馆长的；管理者的；评议员的"
"curatory","/ˈkjʊrətɔːri/","/ˈkjʊərətəri/","n. 管理人（或监护人）之团体；管理者（或馆长）的职位"
"hierarchy","/ˈhaɪərɑːrki/","/ˈhaɪərɑːki/","n. 等级制度；统治集团；等级体系"
"plunge","/plʌndʒ/","/plʌndʒ/","v. （使）突然向前倒下（跌落）；猛推，猛插；投入（液体中以使淹没）；（价值）猛跌；（剧烈）颠簸，震荡；（马）猛地用后腿直立；陡然向下倾斜；骤然陷入；（鲁莽地）开始；（使）投身，（使）突然开始从事；种下（植物）<br>n. （突然的）坠落；跳水，快速游泳；（价值或数量的）骤然下跌；突然陷入<br>adj. （女式服装）领口低的"
"tumble","/ˈtʌmb(ə)l/","/ˈtʌmb(ə)l/","v. 跌倒，滚落；倒塌，坍塌；（价值）暴跌；跌跌撞撞地走；（水）快速移动；（兴奋或伤心地）快速说；翻跟头；（头发）垂落；用滚筒甩干；弄乱，弄皱；用滚筒把（宝石等）弄干净<br>n. 跌倒，滚落，暴跌；混乱，杂乱；翻跟头；<美，非正式>示好"
"sag","/sæɡ/","/sæɡ/","v. （尤指由于承重或受压）中间下垂，下凹；减弱；（身体某部位）松弛；萎靡；衰退，下跌<br>n. （虚弱或重压引起的）下弯，下垂；下垂度；（尤指暂时的）下降，萧条"
"lag","/læɡ/","/læɡ/","v. 掉队，落后于；给（管道等）加防冻保暖层；<非正式>使入狱，逮捕<br>n. （两件事的）时间间隔；<英，非正式>囚犯，惯犯；相位滞后；绝热层，保温套；桶板<br>adj. 最后的"
"quarrel","/ˈkwɑːrəl/","/ˈkwɒrəl/","n. 争吵，拌嘴；抱怨（或不赞成）的理由；<史>（用石弓或劲弩发射的）方镞箭，方头投射物<br>v. 争吵，吵架；不同意，反对；抱怨"
"practical","/ˈpræktɪk(ə)l/","/ˈpræktɪkl/","adj. 真实的，实际的；（计划、方法等）切实有效的，切实可行的；（人）明智的，务实的；合适的，适用的；心灵手巧的，善于制作（或修补）的；几乎完全的，实际上的<br>n. <英>（科学、烹饪等的）实践课，实用知识考试"
"sign","/saɪn/","/saɪn/","n. 指示牌，标志；迹象，征兆；示意动作，手势；手语动作；符号，记号；踪迹，踪影；（医）征，体征；神迹（主要用于《圣经》和文学作品中）；<美>（野生动物的）足迹，臭迹；（占星）（黄道12宫中的）宫，星座；（数）正负号；暗号，信号；（表示某人状况或经历的）动作，反应<br>v. 签名，署名；（与机构、公司等）签约；示意，打手势；打手语；用标志杆（或其他记号）表示"
"segment","/ˈseɡmənt/","/ˈseɡmənt/","n. 部分，片段；（市场）细分的部分；（水果或花自然形成的）瓣，（昆虫的）节； 球缺，弓形；（直线或弧线上两点间的）段；（特定广播或电视节目的）时间段；某一时段单独播放的节目；音段<br>v. 分割，划分；（细胞）分裂"
"cheer","/tʃɪr/","/tʃɪə(r)/","n. 欢呼声，喝彩声；加油口号，加油歌；欢快，愉快的情绪<br>v. 欢呼，喝彩；鼓励，鼓舞"
"divide","/dɪˈvaɪd/","/dɪˈvaɪd/","v. （使）分开，分散；分配，分担；使分离；分隔，隔开；使产生分歧；除，除以；分岔<br>n. 差异，分歧；（两事物间的）界限；<美>分水岭，分水线"
"suspicious","/səˈspɪʃəs/","/səˈspɪʃəs/","adj. 感觉可疑的，怀疑的；不信任的，持怀疑态度的；令人怀疑的，引起怀疑的"
"prompt","/prɑːmpt/","/prɒmpt/","v. 促使，导致；鼓励，提示（说话者）；（计算机上）提示；（给演员）提词，提白<br>n. （给演员的）提词；（计算机屏幕上显示准备接受指令的）提示； 鼓励，催促；（付款通知单上的）付款期限<br>adj. 迅速的，立刻的；（人）利索的，敏捷的；及时的，准时的；（商品）即期要送的，即期要付的<br>adv. 准时地"
"promptly","/ˈprɑːmptli/","/ˈprɒmptli/","adv. 迅速地；立即，马上；准时地"
"triumph","/ˈtraɪʌmf/","/ˈtraɪʌmf/","n. 巨大成功，重大胜利；（胜利或成功的）喜悦，狂喜；（成功的）典范，楷模；古罗马凯旋式<br>v. 获胜，成功；（因胜利或成功而）欣喜，欢跃；（古罗马将军）凯旋而归"
"undervalue","/ˌʌndərˈvæljuː/","/ˌʌndəˈvæljuː/","v. 低估……的价值；看轻，轻视<br>n. 低于实际价值的价格"
"rigid","/ˈrɪdʒɪd/","/ˈrɪdʒɪd/","adj. （方法、体制等）严格死板的，僵化的；（人）顽固的，不通融的；刚硬的，不易弯曲的；（因强烈的感情而）僵硬的，僵直的；精确的<br>n. 未铰接的货车"
"choked","/tʃoʊkt/","/tʃəʊkt/","adj. 堵塞的；生气的，恼怒的<br>v. 使窒息"
"spy","/spaɪ/","/spaɪ/","n. 间谍，密探；暗中监视者<br>v. 从事间谍活动；突然看见，认出；秘密监视；探明，查明<br>adj. （卫星、飞机）执行间谍任务的"
"disgrace","/dɪsˈɡreɪs/","/dɪsˈɡreɪs/","n. 耻辱，不光彩； 令人感到羞耻的人（或事），不名誉的事；失宠<br>v. 使丢脸，使蒙受耻辱；使名誉扫地，使失势"
